"ID","question"
"111","I used elavil the naxproxen in small doses for back problems. with celebrex was a lot of spasm in the upper back, between the ribs. back problem degenerate into anxiety problems and I am now rivotril the evening and lying and lying to desyrel also. its still aches course it passes easily lifted, I think it's the drugs, but I'm not sure. What to do?"
"112","Quinolone and sun?"
"113","I take the pill for 1 year Ludéal gen at 9:30 am this morning, but I forgot to take my pill and I just take it in dc disaster 21h41, are t there any risks?"
"114","I take varnoline or at least its qi is called generic desogestrel / ethinilestradiol. a pharmacy generic as it gave me dab same composition all. but the box does not have the same design and the manufacturer is not the same. should I worry?"
"115","Do you know an equivalent post operative dressing OpSite?"
"116","Is it best taken in the morning or the evening?"
"117","Was it right to let migralgine / prontalgine behind the counter, on shelves, prominent patients?"
"118","I take diane 35, 3 months ago I depressed over nothing. Is there a relationship?"
"119","polygynax in patient under aldara?"
"120","Celebrex is in what dosages?"
"121","Sore muscles and bones after taking SOLUPRED, is this normal?"
"122","magnesia phos very sorrowful rules?"
"123","In which case ginseng is it useful?"
"124","Trinordiol + pregnancy?"
"125","I take melody for 2 years and then I what looks to rules coming in mid-cycle. am I still protected against a possible pregnancy?"
"126","pill diane 35: she walks in the first plate and not after 4 months or more?"
"127","What alternative to cialis?"
"128","Seroxat ??"
"129","ANDROCUR oblivion, advice?"
"130","I take the pill triafémi. when you forget a tablet with a three-phase, is that it happens like with a monophasic. I mean, even with different dosages, can we bind platelets in case of last week of forgetfulness? and if it connects, it is only the last color tablets or entire wafer?"
"131","curative rabies vaccine, still in danger?"
"132","tanganil Megamag side effects?"
"133","county take Cerazette first time?"
"134","What makes up the doliprane?"
"135","What is the Stablon?"
"136","Rhophylac who knows?"
"137","What are the signs of overdose Mysoline?"
"138","Rotarix and side effects ?? .."
"139","is that the vaccine against meningitis has can trigger autoimmune inflammatory diseases?"
"140","Hello! I take diane for 3 years and it is great for moi.mais I would like to stop and take that is a contraception.quelles are other pills that are not harmful to little but however are only contraceptive ? thanks a lot!!"
"141","ups and downs .. with norset, is this normal?"
"142","what is the validity of the vaccine against yellow fever?"
"143","Euphytose: drug or placebo?"
"144","dtp vaccine finally available ??"
"145","I have no rules, is it because of the melody pill that I took from 6 months?"
"146","NO QUESTION ON DRUG"
"147","a What is the Chamomilla vulgaris?"
"148","duphaston and pregnancy?"
"149","Phosphorus and 9ch gelsemium 9ch ca is a what?"
"150","do jasminelle it is the same pill that Yasminelle?"
"151","Climara patch? How to use it ?"
"152","A pharmacist called because she would like to know why there are two DCI available Ibuprofen (Ibuprofen 400mg Teva Teva Health and Ibuprofen 400mg) and why there is a price difference between the two"
"153","What is the therapeutic class of Seropram?"
"154","What is the half-life of adalimumab"
"155","Hello!! Hello!! here I recently started using the pill (21 days + 7 days off) .. please aurrais I loved to know what to do when there menarche for the seven days of stops ?? -débuté the second plate, or the 29th -Wait days to make it there .. I am completely lost because I thought my period would come after 7 days .. thank you .."
"156","with lisanxia are not t it too withdrawal problem?"
"157","I'd like to ask if the Tercian, abilify, sulfarlem Seroplex and gives a sore arm ??"
"158","Can we give omeprazole a cat on steroids?"
"159","1 month MICROVAL and secondary effects ,,"
"160","I take every morning 3 mg of Valium - What are the side effects?"
"161","what is the surgestone?"
"162","Clomid is it risky in case of fibroid?"
"163","what is the vaccine against meningitis ??"
"164","Is it normal to have vomiting and going slowly Ixel?"
"165","Guronsan who knows?"
"166","What the Gallicum ac?"
"167","I am under effexor 37.5. this weekend, I drank a lot 5 or 6 glasses of whiskey. at the end of the 5th or 6th, I started to feel very bad. do you think this is effexor who did this?"
"168","triafemi info?"
"169","I'm pregnant oflocet 200 is it recommended?"
"170","a solution against nighttime awakenings?"
"171","Ludéal - 3h and 12h margin?"
"172","hello, I'm in actuellemnt Seroplex 5mg. I ateinte a fairly severe agoraphobia and panic disorder with depersonalisation.je am my treatment for over a month and no improvements still panicked about my stay strictly domicile..et when I had my home is best not panic fear of being alone, fear of falling night etc .. I saw a enfer.mon generaliste say to me augumenter the Seroplex 10mg but it scare me that .. do you think?"
"173","Does taking harpagophytum capsules can cause a significant increase in patient diabetes, and if so why?"
"174","Can anyone suggest Irbesartan during pregnancy?"
"175","pdt how long the effects secondaires.à stopping Seroxat?"
"176","cycléane and fungus ??"
"177","how long does the effect of Xenical?"
"178","What tricilest?"
"179","Compare Relpax / Imigrane"
"180","after 1 and a half months Seropram (citalopram its generic) no effect on me, my psychiatrist prescribed me yesterday Seroplex. qq'un he can testify about his action?"
"181","Do antibiotics cause gastric lifts?"
"182","Silica complex, can I take during pregnancy?"
"183","Are there a generic version of cycléane 30?"
"184","What is the vaccine against cervical cancer?"
"185","I have to take SOLUPRED (cortisone) for a cyst in the wrist but the doctor has said ""no salt and no sugar"" as possible. Why that ?"
"186","The sertraline she plays on libido?"
"187","I have to have surgery the chest. Is it better to take opium (30ch) the day before or the anesthesia awakening?"
"188","Does the pill desobel GE20 gives migraines?"
"189","question about abilify"
"190","Regarding the issuance of Tranxène 10: If the dosage is 2 per day than we do?"
"191","levonorgestrel taken before ovulation, how far it can protect?"
"192","trimgel and depakote?"
"193","I take Mianserin + atarax night for insomnia and I feel the opposite effect, is this normal?"
"194","NorLevo effects on pregnancy ??"
"195","Do I risk getting pregnant pug with 20?"
"196","spotof you know ??"
"197","which vaccine do now that dtp is no longer available?"
"198","clay, aloe veroa for use on private parts?"
"199","jasmine generic?"
"200","brown essence of inde..où find?"
"201","xanax involved?"
"202","clarithromycin = ampicillin?"
"203","it is the difference between hormone dosage and Méliane mirena or Implanon?"
"204","is what my dose Seropram is not too low?"
"205","I often have requirements Nebcine, Célestene, Gentamicin, Solumedrol, all in injectable forms and prescribed nebulized together (all are aerosol route off-label), and this has not been tested by the laboratories that do ?"
"206","What if I forget one evening daily gen?"
"207","xeroquel against anxiety, low dose (25 mg)? what are the side effects?"
"208","I was prescribed MICROVAL is that this pill is effective from the first dose? What does it matter if I start the plate while I do not have my rules again?"
"209","Seroxat, awakened at night?"
"210","risperidone in the hyperactive adult?"
"211","Is what we can substitute Dexeryl of prescriptions and toplexil reimbursed by the generic?"
"212","hello, I'm under Seropram and atarax since 5 months, I feel better about my panic attacks and anxiety parcontre but I have trouble sleeping and above all I laughter crises all over the street, at home I ' feel I become stupid! I laugh even for anything alone in front of the screen of my PC! c ad?"
"213","Risperdal is perfect against phobias. What do you think?"
"214","where do you put the patch evra to be on it does not take off?"
"215","a question about Minesse or a metered mini pill .. is it possible that my period did not come without me so far pregnant ??"
"216","I took the orgametil and now I take surgestone. the change in the first month, I forgot to take a pill, and I have taken after 12am. then I was bleeding for 10 days, but very light and I found my weird rules, I did a pregnancy test was negative. Is there any chance that I'm pregnant?"
"217","Xolair amm? in France"
"218","Can the Colpotrophine prevent implantation of the egg in the endometrium?"
"219","Seropram with another antidepressant?"
"220","Haldol t have any side effects?"
"221","Baclofen is anxyolitic it?"
"222","What alternative to Meningitec in case of failure?"
"223","I have very a headache so I took a upfen of habit I only take the doliprane and after having taken I realized that the date of 02/2006 lapsed is I m worried some think it does not matter ?"
"224","What herbal teas to lose weight?"
"225","XEPLION high risk of parkinsonism?"
"226","A patient asked me alkylglycerolsulfonates contained in shark liver oil to regulate cholesterol, not wanting to take statins, is what really has this property?"
"227","enceintre and vogalib?"
"228","Is it good to take corticosteroid when you get vaccinated?"
"229","do Generic Cialis has the same composition as the original Cialis?"
"230","to those who use .. Trinordiol side effects?"
"231","uncomplicated cystitis first-line treatment?"
"232","Copper IUD and acne ??"
"233","puffy face, is what it is because of the Valium?"
"234","Should we take amoxicillin during meals to limit the adverse effects?"
"235","I use evra patch and it worried me a little, sometimes I super nausea and stomach ache, and I really wonder if I'm pregnant?"
"236","antidiabetic how they lower blood glucose levels?"
"237","I took Minesse for the first time but after 15 days I still have my period !! it means that this pill does not suit me or do I have to wait 1 month or 2 before you know?"
"238","diane 35 and its generic ??"
"239","ANDROCUR and no rules?"
"240","Can a profound fatigue being the cause of Clamoxyl?"
"241","I'll take the pill Minesse and I wonder if Minesse stop the rules, or we have by having a less heavy flow? it is still effective the 1st day of the rules?"
"242","I take varnoline and I had an oversight. could you help me if you have been in such a situation?"
"243","I have to take the 3x / day amoxicillin. I started the treatment yesterday at 23h-23h30, but that night, I forgot to wake me up and so I took at 10am ... is it serious?"
"244","Ephedrine ?? Refunded?"
"245","Are you it has a risk of pregnancy during the stop 35 of diane?"
"246","What is Lyrica?"
"247","A HUMATROPE treatment for a girl of 21 months, can you tell me in the long run if there are health risks ??"
"248","Should I avoid certain foods with kardefic? I fear that the efficiency varies"
"249","What is the non-generic version of escitalopram?"
"250","people who have had to take norfloxacin have had side effects apart photosensitivity?"
"251","The L122 does it help to burn to lose weight?"
"252","What is the drug ""speciafoldine""?"
"253","is what we must stop Seroxat if we want a baby?"
"254","Subutex, dependence o After how many days?"
"255","I had some acne problems and wanted to know if making me put an implant, I might see these awful réapparaitrent buttons?"
"256","What kind of drug is Seroplex?"
"257","I am under Cerazette since qq months mnt, for 1 week or I bcp more abundant white discharge than usual, I have to worry about me?"
"258","Which vaccine against cervical cancer of the uterus?"
"259","There is a generic drug Inexium 20 mg ??"
"260","I take melody, but last month I had bleeding during the 2nd week of my plate. This month it starts over again and the bleeding is really like a little early and most important rule! it's what is in your opinion?"
"261","cialis available in Quebec ??"
"262","Can I use herbal medicine in the treatment of insomnia?"
"263","when to NeisVac vaccine in infants?"
"264","What are the side effects of prozac and effexor?"
"265","abilify 5 mg ?? you know ?"
"266","My doctor prescribed me xanax of 0.50 and Stilnox. however I feel that the Stilnox (generic) starts to not make me effect. you need it I ask him instead of Imovane and what are the side effects?"
"267","gemzar + cisplatin?"
"268","propranolol against anxiety or not?"
"269","Is there some who have already managed to reduce the doses of norset and sleep normally?"
"270","What homeopathic treatment against cramps?"
"271","methadone to replace Contramal?"
"272","Prevenar: for any indication + C438?"
"273","What (s) is / are (s) risk (s) meet (s) if I give birth before the injection of Rhophylac?"
"274","I suffer from solar urticaria. a doctor has recommended 1.00 mg calcium. the problem is that I do not know if I can find it in France is, can someone tell me if there is a drug (even generic) of this type, and if ever you need a prescription?"
"275","after pill and Cerazette?"
"276","gynecology me doing an injection of gonadotropin and since yesterday I have pain in the belly! is that people can clear up a little ??"
"277","What NeisVac C?"
"278","I have a synovial effusion spontaneously appeared I went to a homeopath who prescribed tablets Ribes nigrum folia but it's too expensive. I discovered that Bryonia is indicated in effusions and Apis mellifera. I thought taking Bryonia 5 ch.est this correct?"
"279","the lyrica anyone know ??"
"280","I wish to have opinions on the effects of the implant."
"281","Are there any interactions between Maxalt and Propranolol?"
"282","Trinordiol without prescription?"
"283","what are the possible vaccine during early pregnancy?"
"284","alcohol + antibiotics ??"
"285","I have eczema after taking extranaze, what should I do?"
"286","Which is under Lodoz?"
"287","my gynecologist asked me to do the Boostrix vaccine (diphtheria, tetanus, cocqueluche) but I'm 27 weeks pregnant. I therefore ask myself if it is dangerous for my unborn baby?"
"288","IUD in cuive available at family planning?"
"289","Do bisoprolol Cristers (bisoprolol hemifumarate) may well substitute the Cardensiel (Bisoprolol fumarate)?"
"290","effect of egg lomexin 600 ??"
"291","Copper Granions they are reserved for adults?"
"292","Advil he causes cramps normally?"
"293","is there a risk for the baby born to take omeprazole?"
"294","I have a box of paracetamol which expired in 2006 is reasonable to the consumption or is it dangerous?"
"295","Midwives have the right to prescribe a pill, but under what conditions?"
"296","Carrence iron, what treatment?"
"297","if a bad reaction or complications following a vaccine against hepatitis B, how long after injection it does arive, at least from when can we say that there is no bad reaction or complication?"
"298","I made a mistake using NuvaRing after putting my 2nd ring I removed one week too early and without seeing my mistake I put another right away. meanwhile I had intercourse at risk, is that there is a risk of pregnancy is that this risk is spread because another ring was inserted just after?"
"299","Seroplex weaning difficult?"
"300","What is the limited number of deliverables compression stockings in 1 year?"
"301","fenofibrate he causes weight gain?"
"302","pregnancy, magnesium authorized?"
"303","the usual vaccination schedule is 2 - 3 - 4 months. do you know what is the tolerated range between doses?"
"304","desolated to shit my world called me are what Cerazette little to have a cutaneous rash on the body after 4 months of taking j saw the dermatologist he said alergie a laundry or a shower gel or soap or another but it do a month since it lasts cream do nothing ca scratch on the belly body under the breasts arm between the thigh as roseola ca ca do and scratches you have an idea you ?? because the d in this funny little thank you and all this desolated"
"305","I take the pill (Minidril) for a month and since almost the first day of taking my morale is not great, I cry very often, and has other moment I am very happy. is that my symptoms may be due to the pill?"
"306","help! ixprim addiction?"
"307","A preparative pharmacy asked what is the amount of lactose in the Letrozole EG"
"308","Iron deficiency what?"
"309","veratran and apnea someil?"
"310","What qu'orgastoro?"
"311","I just read the manual, which says that I have to take yaz after my holygième pill while the gynecologist told me to take the first day of my period. so when do I take ??"
"312","exomuc déremboursé?"
"313","My doctor prescribed me depakote, but it seems that this drug can make you fat .. those who take it, is what you have grown?"
"314","since I took the pill jasminelle a few months ago I had small spots of blood or brown without gravity. today I bleeding as the early light enough rules. I do not know what I must do."
"315","what he has in the PRIORIX vaccine?"
"316","is what the Tranxene increases appetite and gives vied to eat?"
"317","bcg vaccine my son 1 month?"
"318","I take bromazepam. How long does the effect rebound described in the record?"
"319","Ludéal doxy ge + 100 = gen & rubozinc mix?"
"320","I take MINIDRILL and I forget a due compress and I have taken pa. I wanted to know if I aret on Tuesday as usual or if I take every Tablets?"
"321","suffers from erection difficulties. Has someone you already use a homeopathic remedy? if so, with what results?"
"322","effexor and age ??"
"323","pregnant under treatment gardenal 50mg, is this a problem?"
"324","stresam Valium + ??"
"325","risk of long-term minolis?"
"326","How colecalciferol?"
"327","Lercanidipine may be suggested during pregnancy?"
"328","Trinordiol made it grow?"
"329","I went in copper IUD, I now have red patches buttons on both cheeks. What to do?"
"330","how long side effects of the vaccine ror?"
"331","can we take doliprane nurofen and at the same time?"
"332","What are the active ingredients of Stalevo?"
"333","Adepal sequence of portfolios and recovery ??"
"334","A patient treated by Colpotrophine cream and eggs is concerned because her husband urologist recommended to avoid sex while being treated Colpotrophine to avoid affecting her husband prostate disorders"
"335","Effexor 1 + 3 + 1 seresta avocardil / day"
"336","my wife uses BELARA since 4 months she has anounce me she has pain in one breast and she senses the presence of a small body that hurts. can you tell me if AC can come BELARA pills?"
"337","I finish my plate (désobel g20) Sunday night. I'll have the rules a few days later, ie Thursday .. if I have sexual relation with my friend, is it, that during this period of days, I still protected?"
"338","Is he cutting-son retailed?"
"339","Side effects Chibroproscar?"
"340","The atarax he has a strong connection to plasma proteins?"
"341","Ixel and libido: What effects?"
"342","REJECTION"
"343","A missed period under Erythrocine, is this normal?"
"344","Can a pregnant woman take Stodal syrup?"
"345","REMICADE who knows?"
"346","Tuesday and Friday I downright forget to take my pills Minidril and I have finished my plate Sunday night I have not my rules but last night i badly in his lower abdomen and has a feeling that my rules will come but nothing. do you think that there was risk that I am pregnant with these two oversights?"
"347","it may take you anxiolytics together Tilia tomentosa?"
"348","is that vitamins in pills make you fat?"
"349","I bought aujourd'un Spirulina powder pot of green Flamingo brand. I do not know how to use"
"350","What is the laroxyl"
"351","Temesta is it paid?"
"352","my doctor changed my pill. I am currently a Minesse finally I took the last active tablet yesterday it remains for me the placebo 4. Can I start jasminelle today?"
"353","Is melatonin is refundable?"
"354","vaccine against hepatitis B ??"
"355","kine gel prestige? What is it?"
"356","MICROVAL is what causes a delay of rules?"
"357","laroxyl, side effects?"
"358","Is the hyopkaliémie an adverse effect of fosfomycin?"
"359","Can we crush Ropinirole LP tablets to dissolve in water?"
"360","Seroxat (paroxetine) Expired (e) - known risks?"
"361","weird reaction to the Josacine = Allergy?"
"362","Nitric acid 9 ch ..? Directions?"
"363","Strepsils and pill?"
"364","What is the generic Seroxat?"
"365","Amlodipine can cause dysphonia it?"
"366","I was in week stop, and I forgot to start a wafer. I guess I'll have to wait for the next period to start a wafer. AC can not take time?"
"367","then I do a pregnancy test 3 weeks after repor?"
"368","plus an IUD contains copper and efficiency increases. but copper can it not also be toxic to the woman? are there really any risk to health even in exeptional cases?"
"369","pool after vaccine is possible?"
"370","I am under daily gen. I wonder if I need to take the next pack backwards to avoid having my period ??"
"371","What is the recommended dosage of effexor?"
"372","cystine selenium + ??"
"373","I take zoloft 3 weeks ago pile. I do not feel that this is indeed, is this normal? as the antidepressant begins to take effect?"
"374","weight gain with diane 35 ??"
"375","mirena refunded?"
"376","Is the ciency 500 or 1000 exists lozenges?"
"377","I took NorLevo late morning everything was fine until tonight I have palpitations are a inndésirable this effect?"
"378","since my daughter takes Clamoxyl, she is very excited, hardly sleeps, has a very fast breathing, is this normal?"
"379","Utrogestan and weight gain ??"
"380","I susi me ask a flexi copper IUD does here 5 weeks. was my first rules for installation, which were extremely heavy, I made several ailments and brownouts. it calms t it time?"
"381","I did yesterday vaccine (the gardazil), and tonight it is possible that I may drink alcohol ... do you think it is dangerous?"
"382","I'm pregnant, and I take Clamoxyl, til there risks?"
"383","diane 35 in a patient with a history of pulmonary embolism?"
"384","Tegretol is there a mood stabilizer?"
"385","Morphine possible during pregnancy?"
"386","NO QUESTION ON DRUG"
"387","What is the risk of becoming pregnant because of a forgotten pill?"
"388","here is bad for about 2smaines g o breasts white discharge and picotemments ds lower ventre.pensez vs pe that this be signs of pregnancy? Stediril I take as a pill!"
"389","is what I take risks for my heart health (and my already low fertility) taking the pill?"
"390","effexor norset + ??"
"391","Stablon the placebo would it?"
"392","I usually take the Valium but I would like to reduce the doses, do I cut the tablet into 2 or even 4?"
"393","calconel. someone there information on this subject?"
"394","my doctor prescribed 40 mg of Prozac instead of 20 mg of paroxetine per day, but can not do without paroxetine, I take 20mg of both. sb can tell me the effects of this mixture?"
"395","after how many weeks the side effects of Seropram disappear?"
"396","What's the effexor?"
"397","cymbalta to you t he lose weight?"
"398","hello, here is my problem: I stopped diane May 13, so I got my period on 17 .. I had to regain my doctor 21. I'm moving to a microdosée kind pill Minesse I begun to May 21 my question is knowing that I have EPAS took the pills on time and that I did not ingest them: how long will I protectet? should I take the entire wafer of 28 tablets? thank you in advance."
"399","we can mix the drug SOLUPRED and ibuprofen?"
"400","Is a IUD too large can cause side effects?"
"401",") On the Art 115 sheets, is that overruns (eg bottom of restraints) are paid or charged to the patient?"
"402","xanax, Ixel, Stilnox, the effects of the first days go qd?"
"403","optimizette big and bleeding?"
"404","jasmine & jasminelle? Equivalent?"
"405","I take the patch evra for over a year. I made a mistake by removing date before the end of the week the 3rd patch (5 jous early). the risks are high or not?"
"406","Can I get the alvocardyl without prescription?"
"407","he hiccups can be caused by Doxycycline?"
"408","I take tolexine for 8 days and I find that I still have not ovulated while I'm at day 15 of my cycle and I normally very regular 26-day cycles. this antibiotic-it can be the cause of the delay or is it psychological?"
"409","replaced aerius pdt pregnancy?"
"410","I melody. is what I have to take as during menstruation?"
"411","When taking amoxicillin?"
"412","I stopped prozac depus end of March 2009, I then have sleep problems, loss of energies, headaches, weight gain. I'm addicted to Prozac?"
"413","I made the IUD put mirena there 6 days and I have spotting; is what it should fade alone and after how long?"
"414","I took an antibiotic treatment: noroxine 400 for 5 days, I just realized that I was pregnant, what risk to the baby?"
"415","my doctor prescribed augmentin 500 to treat flu. I'm 6 weeks pregnant and am worried about the effects on the fetus?"
"416","How long does the effect Seroxat?"
"417","is what it is possible to mix the injection of Cervarix and Gardasil?"
"418","What is ephedrine?"
"419","How to spend rivotril laroxyl?"
"420","I use for my facial skin prodigious oil nuxe containing 7% wort oil. is that it could affect the efficiency of my pill?"
"421","do triafermi is a mini pill,?"
"422","I completely forgot my pill gold I had 2 reports. I immediately took the missed pill. is there really a risk?"
"423","I had a dental anesthetic, and I wondered if my pill varnoline was all effectively the same?"
"424","I think Folliculinum begin, I'd like you m aidiez to tell me how?"
"425","surgestone, dangerous?"
"426","I take stinox for years and now I m tars sleep is what it is normal?"
"427","I am having information on lithium carb?"
